{'level':'info','time':'2024-12-16 12:32:00','message':'Bus 4 has coming to Stop F. Passengers: +8, -9. Load: 42/80.'}
{'level':'info','time':'2024-12-16 12:33:00','message':'Bus 5 has coming to Stop G. Passengers: +4, -10. Load: 26/110.'}
{'level':'info','time':'2024-12-16 12:34:00','message':'Bus 6 has coming to Stop H. Passengers: +7, -1. Load: 33/90.'}
{'level':'info','time':'2024-12-16 12:35:00','message':'Bus 3 has coming to Stop F. Passengers: +9, -3. Load: 26/150.'}
{'level':'info','time':'2024-12-16 12:38:00','message':'Bus 7 has coming to Stop I. Passengers: +7, -4. Load: 35/85.'}
{'level':'info','time':'2024-12-16 12:39:00','message':'Bus 2 has coming to Stop F. Passengers: +8, -1. Load: 40/150.'}
{'level':'info','time':'2024-12-16 12:39:00','message':'Bus 5 has coming to Stop H. Passengers: +11, -6. Load: 31/110.'}
{'level':'info','time':'2024-12-16 12:40:00','message':'Bus 4 has coming to Stop G. Passengers: +1, -9. Load: 34/80.'}
{'level':'info','time':'2024-12-16 12:41:00','message':'Bus 6 has coming to Stop I. Passengers: +7, -2. Load: 38/90.'}
{'level':'info','time':'2024-12-16 12:42:00','message':'Bus 1 has coming to Stop F. Passengers: +5, -3. Load: 49/100.'}
{'level':'info','time':'2024-12-16 12:43:00','message':'Bus 3 has coming to Stop G. Passengers: +0, -7. Load: 19/150.'}
{'level':'info','time':'2024-12-16 12:46:00','message':'Bus 4 has coming to Stop H. Passengers: +11, -15. Load: 30/80.'}
{'level':'info','time':'2024-12-16 12:46:00','message':'Bus 5 has coming to Stop I. Passengers: +6, -7. Load: 30/110.'}
{'level':'info','time':'2024-12-16 12:47:00','message':'Bus 2 has coming to Stop G. Passengers: +2, -1. Load: 41/150.'}
{'level':'info','time':'2024-12-16 12:49:00','message':'Bus 3 has coming to Stop H. Passengers: +5, -3. Load: 21/150.'}
{'level':'info','time':'2024-12-16 12:49:00','message':'Bus 7 has coming to Stop J. Passengers: +8, -14. Load: 29/85.'}
{'level':'info','time':'2024-12-16 12:50:00','message':'Bus 1 has coming to Stop G. Passengers: +1, -15. Load: 35/100.'}
{'level':'info','time':'2024-12-16 12:52:00','message':'Bus 6 has coming to Stop J. Passengers: +8, -14. Load: 32/90.'}
{'level':'info','time':'2024-12-16 12:53:00','message':'Bus 2 has coming to Stop H. Passengers: +4, -12. Load: 33/150.'}
{'level':'info','time':'2024-12-16 12:53:00','message':'Bus 4 has coming to Stop I. Passengers: +5, -2. Load: 33/80.'}
{'level':'info','time':'2024-12-16 12:56:00','message':'Bus 1 has coming to Stop H. Passengers: +3, -12. Load: 26/100.'}
{'level':'info','time':'2024-12-16 12:56:00','message':'Bus 3 has coming to Stop I. Passengers: +4, -5. Load: 20/150.'}
{'level':'info','time':'2024-12-16 12:57:00','message':'Bus 5 has coming to Stop J. Passengers: +8, -0. Load: 38/110.'}
{'level':'info','time':'2024-12-16 12:58:00','message':'Bus 7 has coming to Stop A. Passengers: +12, -0. Load: 41/85.'}
{'level':'info','time':'2024-12-16 13:00:00','message':'Bus 2 has coming to Stop I. Passengers: +6, -1. Load: 38/150.'}
{'level':'info','time':'2024-12-16 13:01:00','message':'Bus 1 has finished moving (driver 1 has finished workday)'}
{'level':'info','time':'2024-12-16 13:01:00','message':'Bus 2 has finished moving (driver 6 has finished workday)'}
{'level':'info','time':'2024-12-16 13:01:00','message':'Bus 3 has finished moving (driver 5 has finished workday)'}
{'level':'info','time':'2024-12-16 13:01:00','message':'Bus 4 has finished moving (driver 3 has finished workday)'}
{'level':'info','time':'2024-12-16 13:01:00','message':'Bus 5 has finished moving (driver 4 has finished workday)'}
{'level':'info','time':'2024-12-16 13:01:00','message':'Bus 6 has finished moving (driver 2 has finished workday)'}
{'level':'info','time':'2024-12-16 13:01:00','message':'Bus 7 has finished moving (driver 7 has finished workday)'}
{'level':'info','time':'2024-12-16 14:00:00','message':'Bus 1 is active with driver 6'}
{'level':'info','time':'2024-12-16 14:00:00','message':'Bus 2 is active with driver 1'}
{'level':'info','time':'2024-12-16 14:00:00','message':'Bus 3 is active with driver 7'}
{'level':'info','time':'2024-12-16 14:00:00','message':'Bus 4 is active with driver 4'}
{'level':'info','time':'2024-12-16 14:00:00','message':'Bus 5 is active with driver 5'}
